match_no,date_et,time_et,stage,group,home_team,away_team,home_label,away_label,known_teams,venue_city,neutral,competition,source_url
34,2026-06-20,16:00,Group Stage,E,Germany,Ivory Coast,Germany,Ivory Coast,True,Toronto,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
35,2026-06-20,20:00,Group Stage,E,Ecuador,Curacao,Ecuador,Curacao,True,"Kansas City, Missouri",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
36,2026-06-21,00:00,Group Stage,F,Tunisia,Japan,Tunisia,Japan,True,"Guadalupe, Mexico",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
37,2026-06-21,12:00,Group Stage,H,Spain,Saudi Arabia,Spain,Saudi Arabia,True,Atlanta,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
38,2026-06-21,15:00,Group Stage,G,Belgium,Iran,Belgium,Iran,True,"Inglewood, California",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
39,2026-06-21,18:00,Group Stage,H,Uruguay,Cape Verde,Uruguay,Cape Verde,True,"Miami Gardens, Florida",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
40,2026-06-21,21:00,Group Stage,G,New Zealand,Egypt,New Zealand,Egypt,True,"Vancouver, Canada",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
41,2026-06-22,13:00,Group Stage,J,Argentina,Austria,Argentina,Austria,True,"Arlington, Texas",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
42,2026-06-22,17:00,Group Stage,I,France,Iraq,France,Iraq,True,Philadelphia,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
43,2026-06-22,20:00,Group Stage,I,Norway,Senegal,Norway,Senegal,True,"East Rutherford, New Jersey",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
44,2026-06-22,23:00,Group Stage,J,Jordan,Algeria,Jordan,Algeria,True,"Santa Clara, California",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
45,2026-06-23,13:00,Group Stage,K,Portugal,Uzbekistan,Portugal,Uzbekistan,True,Houston,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
46,2026-06-23,16:00,Group Stage,L,England,Ghana,England,Ghana,True,"Foxborough, Massachusetts",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
47,2026-06-23,19:00,Group Stage,L,Panama,Croatia,Panama,Croatia,True,Toronto,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
48,2026-06-23,22:00,Group Stage,K,Colombia,DR Congo,Colombia,DR Congo,True,"Zapopan, Mexico",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
49,2026-06-24,15:00,Group Stage,B,Switzerland,Canada,Switzerland,Canada,True,"Vancouver, Canada",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
50,2026-06-24,15:00,Group Stage,B,Bosnia and Herzegovina,Qatar,Bosnia and Herzegovina,Qatar,True,Seattle,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
51,2026-06-24,18:00,Group Stage,C,Scotland,Brazil,Scotland,Brazil,True,"Miami Gardens, Florida",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
52,2026-06-24,18:00,Group Stage,C,Morocco,Haiti,Morocco,Haiti,True,Atlanta,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
53,2026-06-24,21:00,Group Stage,A,Czech Republic,Mexico,Czech Republic,Mexico,True,Mexico City,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
54,2026-06-24,21:00,Group Stage,A,South Africa,South Korea,South Africa,South Korea,True,"Guadalupe, Mexico",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
55,2026-06-25,16:00,Group Stage,E,Ecuador,Germany,Ecuador,Germany,True,"East Rutherford, New Jersey",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
