date,home_team,away_team,neutral,match_id,stage,group,venue_city,competition,home_gf12,home_ga12,home_pts12,home_prev_matches,away_gf12,away_ga12,away_pts12,away_prev_matches,fifa_home,fifa_away,diff_fifa,elo_home,elo_away,diff_elo,h2h,home_advantage,matchday_group,home_points_group,home_goal_diff_group,home_goals_for_group,home_goals_against_group,home_matches_played_group,home_position_group,home_possible_best_position,home_possible_worst_position,home_qualify_rate,home_first_place_rate,home_qualify_rate_if_win,home_qualify_rate_if_draw,home_qualify_rate_if_loss,home_first_rate_if_win,home_first_rate_if_draw,home_first_rate_if_loss,home_already_qualified,home_eliminated,home_must_win,home_need_goal_difference,home_rotation_risk,home_playing_for_first,home_risk_drop_to_third,home_needs_result,home_context_note,away_points_group,away_goal_diff_group,away_goals_for_group,away_goals_against_group,away_matches_played_group,away_position_group,away_possible_best_position,away_possible_worst_position,away_qualify_rate,away_first_place_rate,away_qualify_rate_if_win,away_qualify_rate_if_draw,away_qualify_rate_if_loss,away_first_rate_if_win,away_first_rate_if_draw,away_first_rate_if_loss,away_already_qualified,away_eliminated,away_must_win,away_need_goal_difference,away_rotation_risk,away_playing_for_first,away_risk_drop_to_third,away_needs_result,away_context_note
2026-06-19,United States,Australia,1,29,Group Stage,D,Seattle,FIFA World Cup 2026,2.09221284444152,1.2166028871952057,1.8269109812924795,12,2.21646623822309,0.3553219214125594,2.880899960152673,12,1688.53,1605.61,82.92000000000007,1780,1839,-59,0.0,0,2,3,3,4,1,1,1,1,2,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,0,1,0,1,Necesita resultado y pelea el primer lugar,3,2,2,0,1,2,1,2,1.0,0.3333,1.0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,1,0,1,Necesita resultado y pelea el primer lugar
2026-06-20,Turkey,Paraguay,1,32,Group Stage,D,"Santa Clara, California",FIFA World Cup 2026,1.1084258839305017,1.401911695392852,1.2618904585305712,12,1.1846058389540848,1.2221159504023376,1.6527102652720085,12,1579.47,1488.05,91.42000000000009,1849,1780,69,-1.0,0,2,0,-2,0,2,1,3,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,1,Necesita ganar para mejorar clasificacion,0,-3,1,4,1,4,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,1,Necesita ganar para mejorar clasificacion
2026-06-25,Turkey,United States,1,59,Group Stage,D,"Inglewood, California",FIFA World Cup 2026,1.1084258839305017,1.401911695392852,1.2618904585305712,12,2.1335398594784665,0.9897546967632306,2.103038122207175,12,1579.47,1688.53,-109.05999999999996,1849,1780,69,1.0,0,3,0,-2,0,2,1,3,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,Sin opcion clara de top 2,6,5,6,1,2,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,Puede rotar: clasificacion muy segura
2026-06-25,Paraguay,Australia,1,60,Group Stage,D,"Santa Clara, California",FIFA World Cup 2026,1.1846058389540848,1.2221159504023376,1.6527102652720085,12,1.826504893668322,0.6930692556771587,2.34984654459812,12,1488.05,1605.61,-117.55999999999996,1780,1839,-59,0.0,0,3,0,-3,1,4,1,4,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,Sin opcion clara de top 2,3,0,2,2,2,2,2,2,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,Puede rotar: clasificacion muy segura
2026-06-14,Germany,Curacao,1,9,Group Stage,E,Houston,FIFA World Cup 2026,2.624032403784423,0.802145759224069,2.119167293702075,12,1.417495224787154,1.72822217251985,1.069584474096308,12,1743.54,1287.0,456.54,1939,1427,512,0.0,0,1,0,0,0,0,0,3,1,4,0.3333,0.2222,1.0,0.0,0.0,0.6667,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse,0,0,0,0,0,1,1,4,0.6667,0.4444,1.0,1.0,0.0,1.0,0.3333,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse
2026-06-14,Ivory Coast,Ecuador,1,11,Group Stage,E,Philadelphia,FIFA World Cup 2026,2.010761670046437,1.0190817120014886,1.8338342007664776,12,0.6363649890235228,0.1034712171997145,1.8194694730648973,12,1568.62,1570.76,-2.1400000000001,1743,1890,-147,0.0,0,1,0,0,0,0,0,4,1,4,0.3333,0.1111,1.0,0.0,0.0,0.3333,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse,0,0,0,0,0,2,1,4,0.6667,0.2222,1.0,1.0,0.0,0.6667,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse
2026-06-20,Germany,Ivory Coast,1,34,Group Stage,E,Toronto,FIFA World Cup 2026,3.8789719849114266,0.872720915712535,2.393015197288816,12,1.829526182006196,0.836354391703531,2.042934559459556,12,1743.54,1568.62,174.92000000000007,1939,1743,196,0.0,0,2,3,6,7,1,1,1,1,2,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,0,1,0,1,Necesita resultado y pelea el primer lugar,3,1,1,0,1,2,1,3,0.8889,0.3333,1.0,1.0,0.6667,1.0,0.0,0.0,0,0,0,0,0,1,1,1,Necesita resultado y pelea el primer lugar
2026-06-20,Ecuador,Curacao,1,35,Group Stage,E,"Kansas City, Missouri",FIFA World Cup 2026,0.5442252437385272,0.2332802656431889,1.5560271770654426,12,1.2176685264625422,3.833841206672208,0.6179420286661946,12,1570.76,1287.0,283.76,1890,1427,463,0.0,0,2,0,-1,0,1,1,3,2,4,0.1111,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,1,Necesita ganar para mejorar clasificacion,0,-6,1,7,1,4,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,1,Necesita ganar para mejorar clasificacion
2026-06-25,Ecuador,Germany,1,55,Group Stage,E,"East Rutherford, New Jersey",FIFA World Cup 2026,0.4540387469553846,0.20470559599642,1.4408711025784635,12,3.5720604517674293,0.8935106982156898,2.492160175442377,12,1570.76,1743.54,-172.77999999999997,1890,1939,-49,-1.0,0,3,1,-1,0,1,2,3,2,4,0.1111,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,1,Necesita ganar y cuidar diferencia de goles,6,7,9,2,2,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,Puede rotar: clasificacion muy segura
2026-06-25,Curacao,Ivory Coast,1,56,Group Stage,E,Philadelphia,FIFA World Cup 2026,0.9951973649460774,3.1899600896896936,0.679483468152645,12,1.694487400998912,1.0793946268875174,1.6554161869130897,12,1287.0,1568.62,-281.6199999999999,1427,1743,-316,0.0,0,3,1,-6,1,7,2,4,2,4,0.2222,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,1,Necesita ganar y cuidar diferencia de goles,3,0,2,2,2,2,2,4,0.6667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse
