match_id,modelo,modelo_ganador_global,date,stage,group,home_team,away_team,lambda_home,lambda_away,factor_contexto_home,factor_contexto_away,prob_home_win,prob_draw,prob_away_win,prob_home_win_percent,prob_draw_percent,prob_away_win_percent,predicted_class
20,Regresion Lineal,True,2026-06-17,Group Stage,J,Austria,Jordan,2.611756757698622,0.7446668176342889,1.1025,1.1025,0.7674443014493126,0.1547687020114898,0.0777869965391976,76.74443014493126,15.476870201148978,7.77869965391976,H
21,Regresion Lineal,True,2026-06-17,Group Stage,K,Portugal,DR Congo,2.618912579025779,0.9657642936728915,1.1025,1.1025,0.7211168473686603,0.16844106181425864,0.11044209081708112,72.11168473686604,16.844106181425865,11.04420908170811,H
22,Regresion Lineal,True,2026-06-17,Group Stage,L,England,Croatia,2.3289055290662373,0.9932924450354549,1.1025,1.1025,0.665069576690703,0.1956451406450508,0.13928528266424622,66.5069576690703,19.564514064505083,13.928528266424623,H
23,Regresion Lineal,True,2026-06-17,Group Stage,L,Ghana,Panama,1.2135287985938314,1.5110037723188643,1.1025,1.1025,0.2955771889189104,0.2728086465777769,0.4316141645033126,29.55771889189104,27.28086465777769,43.16141645033126,A
24,Regresion Lineal,True,2026-06-17,Group Stage,K,Uzbekistan,Colombia,0.7203825907622807,1.793370918998587,1.1025,1.1025,0.136593409406165,0.24136831221634883,0.622038278377486,13.659340940616499,24.136831221634882,62.203827837748605,A
25,Regresion Lineal,True,2026-06-18,Group Stage,A,Czech Republic,South Africa,2.1275466984942715,1.3600214519462432,1.1550000000000002,1.1550000000000002,0.5433043315815138,0.2220448622003786,0.23465080621810758,54.33043315815138,22.20448622003786,23.465080621810756,H
26,Regresion Lineal,True,2026-06-18,Group Stage,B,Switzerland,Bosnia and Herzegovina,2.294045496195422,0.9922859139141421,1.1355750000000002,1.1355750000000002,0.6587834435311559,0.19884998559138106,0.14236657087746307,65.8783443531156,19.884998559138108,14.236657087746307,H
27,Regresion Lineal,True,2026-06-18,Group Stage,B,Canada,Qatar,1.996062832433937,1.0630843067079476,1.1355750000000002,1.1355750000000002,0.5818638512852294,0.22957703346150188,0.1885591152532686,58.18638512852294,22.957703346150186,18.85591152532686,H
28,Regresion Lineal,True,2026-06-18,Group Stage,A,Mexico,South Korea,1.67280580042036,1.1470739039319098,1.0815000000000001,1.1355750000000002,0.48730002726481103,0.26040842308109563,0.2522915496540933,48.7300027264811,26.040842308109564,25.22915496540933,H
29,Regresion Lineal,True,2026-06-19,Group Stage,D,United States,Australia,1.8530189017682561,1.302050983279823,1.0815000000000001,1.0815000000000001,0.49533745383781236,0.24344614806157397,0.26121639810061353,49.53374538378124,24.3446148061574,26.121639810061353,H
30,Regresion Lineal,True,2026-06-19,Group Stage,C,Scotland,Morocco,0.5197810818267348,2.1635852833758524,1.1355750000000002,1.1355750000000002,0.06909158335379897,0.1820538554353196,0.7488545612108816,6.909158335379898,18.20538554353196,74.88545612108815,A
31,Regresion Lineal,True,2026-06-19,Group Stage,C,Brazil,Haiti,3.1093145414067354,0.37190320264288457,1.1355750000000002,1.1550000000000002,0.895672396825636,0.08415369407363779,0.020173909100726233,89.56723968256361,8.415369407363778,2.0173909100726233,H
32,Regresion Lineal,True,2026-06-20,Group Stage,D,Turkey,Paraguay,1.6504385687815033,1.4219918086843177,1.1550000000000002,1.1550000000000002,0.4218502368913275,0.25547733707589293,0.32267242603277946,42.18502368913275,25.547733707589295,32.26724260327794,H
33,Regresion Lineal,True,2026-06-20,Group Stage,F,Netherlands,Sweden,2.901902679465588,1.228602293893803,1.1355750000000002,1.1355750000000002,0.7113642455958036,0.15958601768071123,0.12904973672348516,71.13642455958036,15.958601768071123,12.904973672348516,H
34,Regresion Lineal,True,2026-06-20,Group Stage,E,Germany,Ivory Coast,2.7013722401822777,1.1565699415321913,1.0815000000000001,1.1355750000000002,0.6944014043629603,0.17132656545565447,0.13427203018138534,69.44014043629603,17.132656545565446,13.427203018138535,H
